Survey Year,NHIS Prior Year,Conditional Point-in-Time Year 1,Unconditional Point-in-Time Year 1
1996,93.9,83.1,78.0
1997,93.8,83.0,77.9
1998,93.7,82.1,76.9
1999,92.2,80.3,74.0
2000,92.2,81.2,74.9
2001,89.9,81.2,73.0
2002,89.7,80.5,72.2
2003,90.1,79.8,71.9
2004,90.3,77.9,70.3
2005,87.9,79.0,69.4
2006,87.3,76.1,66.4
2007,88.1,76.5,67.4
2008,87.4,77.7,67.9
2009,85.2,74.8,63.7
2010,84.0,73.5,61.7
2011,80.6,78.2,63.0
2012,82.9,78.2,64.8
2013,78.0,74.2,57.9
2014,76.2,71.8,54.7
2015,75.1,73.37,55.1
2016,71.2,74.44,53.0
2017,69.2,72.54,50.2
2018,67.1,72.88,48.9
2019,64.3,66.72,42.9
