Survey Year,Resolution Rate,Screener Completion Rate,Interview Completion Rate,CASRO Response Rate
1995,96.5,96.4,93.5,87.1
1996,94.3,96.8,94.0,85.8
1997,92.1,97.9,93.8,84.6
1998,90.4,97.8,93.6,82.7
1999,88.6,97.0,93.4,80.2
2000,88.1,96.0,93.1,78.7
2001,86.8,96.2,91.1,76.1
2002,84.8,96.6,90.6,74.2
2003,83.6,94.0,88.7,69.8
2004,83.8,94.8,92.0,73.1
2005,83.3,92.8,84.2,65.1
2006,83.3,90.5,85.6,64.5
2007,82.9,90.2,86.8,64.9
2008,82.3,90.3,85.1,63.2
2009,82.9,92.4,83.2,63.8
2010,83.8,91.5,83.6,63.8
2011,83.0,90.7,81.7,61.6
2012,84.1,90.7,84.6,64.5
2013,83.2,91.0,82.3,62.3
2014,82.7,92.2,82.1,62.6
