Survey Year,Screening,Conditional Interview,Unconditional Interview
1999,90.1,74.2,66.8
2000,93.0,78.0,72.6
2001,91.8,76.8,70.5
2002,90.8,84.5,76.8
2003,91.0,83.0,75.6
2004,91.3,82.7,75.4
2005,91.3,81.5,74.4
2006,90.2,79.7,71.9
2007,88.8,79.0,70.2
2008,88.8,79.3,70.4
2009,88.6,80.2,71.0
2010,88.3,79.8,70.4
2011,87.0,79.2,68.9
2012,86.2,77.9,67.1
2013,84.4,76.4,64.5
2014,82.6,74.1,61.2
2015,79.97,72.04,57.61
2016,78.8,71.06,55.48
2017,74.92,69.66,52.19
2018,73.34,68.4,50.16
2019,70.41,66.62,46.9
2020,16.96,58.04,9.84
2021,21.61,45.89,9.91
2022,25.16,47.33,11.91
